age_group,educ,selfemp_mis8
Young,3,0
Young,3,0
Older,4,0
Older,3,0
Mid,1,0
Mid,3,0
Mid,3,0
Older,3,0
Mid,2,0
Older,3,0
Young,2,0
Young,1,0
Older,4,0
Young,4,0
Older,2,0
Young,2,0
Older,3,0
Young,4,0
Mid,3,0
Older,2,1
Mid,1,0
Mid,2,0
Mid,4,0
Young,4,0
Older,4,0
Mid,2,0
Mid,3,0
Older,5,0
Older,3,0
Young,3,0
Older,4,1
Young,3,0
Mid,1,0
Mid,1,0
Older,4,0
Young,4,0
Young,2,0
Mid,4,0
Young,4,0
Older,4,0
Older,4,0
Mid,2,0
Young,3,0
Young,3,0
Older,3,0
Older,3,0
Young,4,0
Older,2,1
Older,5,0
Mid,1,0
Older,3,0
Mid,2,0
Older,2,0
Mid,1,1
Mid,3,0
Young,3,0
Mid,3,0
Older,3,0
Older,4,0
Older,3,0
Mid,4,0
Older,2,0
Mid,2,0
Older,4,0
Young,3,0
Older,1,0
Older,3,0
Older,2,0
Older,1,0
Older,3,0
Older,1,0
Mid,4,0
Mid,4,0
Older,4,0
Mid,3,0
Mid,3,0
Older,3,0
Mid,3,0
Young,2,0
Mid,2,0
Older,3,0
Older,3,0
Mid,2,0
Older,1,0
Young,4,0
Older,2,0
Mid,5,0
Older,4,0
Older,3,0
Older,4,0
Mid,1,0
Mid,3,0
Older,5,0
Older,1,0
Older,4,0
Older,1,0
Young,4,0
Older,5,0
Older,2,0
Young,4,0
Older,4,0
Mid,5,0
Mid,3,0
Mid,2,0
Older,2,0
Older,4,0
Older,2,0
Young,4,0
Young,3,0
Older,2,0
Mid,2,0
Mid,2,0
Mid,3,0
Older,3,0
Young,2,1
Mid,1,0
Mid,3,0
Mid,4,0
Older,2,0
Young,3,0
Older,5,0
Young,3,0
Older,4,0
Young,3,0
Older,1,0
Young,3,0
Mid,5,0
Mid,4,0
Young,2,0
Older,2,0
Older,1,0
Mid,3,0
Young,2,0
Mid,2,0
Older,1,0
Older,4,0
Young,4,0
Older,2,0
Mid,1,0
Young,2,0
Young,4,0
Older,2,0
Older,1,0
Older,2,0
Older,5,0
Mid,3,0
Older,5,0
Mid,2,1
Older,2,0
Young,4,0
Mid,4,0
Older,2,0
Young,1,0
Young,4,0
Mid,3,0
Older,2,0
Older,4,0
Mid,3,0
Older,3,0
Mid,3,0
Mid,3,0
Older,2,0
Mid,4,0
Young,4,0
Mid,3,0
Older,2,0
Older,2,0
Older,5,0
Older,2,0
Young,3,0
Young,5,0
Young,4,1
Older,2,0
Young,3,0
Older,3,0
Young,3,0
Older,2,0
Older,4,1
Older,2,0
Older,2,0
Older,2,0
Older,3,0
Older,2,1
Older,2,1
Older,2,0
Mid,3,0
Older,4,0
Older,2,0
Older,5,0
Older,3,0
Older,2,0
Young,2,0
Mid,2,0
Older,2,0
Older,5,0
Mid,2,0
Young,3,0
Older,3,0
Young,3,0
Young,1,0
Mid,2,0
Older,5,0
Mid,4,0
Mid,2,0
Older,3,0
Mid,2,0
Older,3,0
Young,4,0
Mid,4,0
Mid,3,0
Older,2,0
Older,3,0
Mid,5,0
Older,5,0
Older,5,0
Older,5,0
Mid,2,0
Older,5,1
Young,2,0
Mid,2,0
Older,2,0
Young,3,0
Mid,3,0
Older,2,1
Older,5,1
Older,2,1
Mid,3,0
Older,4,0
Young,3,0
Young,2,0
Mid,4,0
Mid,2,0
Young,3,0
Older,4,0
Older,2,0
Older,3,0
Older,1,0
Young,4,0
Young,4,0
Older,3,0
Mid,4,0
Young,2,0
Older,4,0
Mid,2,0
Older,2,1
Young,3,0
Older,4,0
Older,3,0
Mid,5,0
Older,4,0
Older,5,0
Mid,2,0
Young,4,0
Older,2,1
Mid,4,0
Mid,5,0
Older,3,0
Young,2,0
Mid,4,0
Older,3,0
Young,3,0
Young,5,0
Older,3,0
Older,2,0
Older,4,0
Older,5,0
Older,4,0
Older,3,0
Older,2,0
Mid,5,0
Young,2,0
Older,4,0
Mid,3,0
Mid,4,0
Mid,2,0
Young,4,0
Older,3,0
Young,2,0
Mid,2,0
Older,4,0
Mid,3,0
Older,3,0
Older,3,0
Mid,3,0
Older,1,0
Young,2,0
Mid,4,0
Mid,5,0
Mid,1,0
Young,1,0
Mid,3,0
Mid,3,0
Young,3,0
Older,3,0
Mid,5,0
Young,4,0
Mid,4,0
Older,1,0
Mid,3,0
Mid,5,0
Young,4,0
Mid,2,0
Young,1,0
Young,1,0
Older,4,0
Young,3,0
Young,4,0
Older,3,1
Young,3,0
Older,2,0
Mid,2,0
Mid,2,0
Older,2,0
Young,5,0
Older,3,0
Mid,3,0
Mid,3,0
Older,2,0
Older,3,0
Mid,5,0
Mid,4,0
Older,4,0
Older,4,0
Young,2,0
Mid,4,0
Older,2,0
Older,3,0
Older,4,0
Mid,3,0
Older,4,0
Mid,3,0
Older,2,0
Older,5,0
Older,3,0
Mid,3,0
Young,2,0
Older,2,0
Young,3,0
Older,3,0
Mid,3,0
Older,1,0
Mid,2,0
Older,2,0
Mid,5,0
Mid,3,0
Young,1,0
Older,5,0
Older,4,0
Young,1,0
Older,3,0
Older,5,0
Older,4,0
Young,2,0
Older,4,0
Young,1,1
Older,2,0
Young,3,0
Older,4,0
Older,2,0
Mid,1,0
Older,3,0
Young,5,0
Older,1,0
Older,2,0
Mid,3,0
Older,3,0
Mid,3,0
Older,5,1
Young,1,0
Older,3,0
Older,4,0
Mid,3,0
Mid,4,0
Older,5,0
Older,1,0
Older,5,0
Older,2,0
Young,3,0
Mid,2,0
Older,4,0
Mid,2,0
Mid,3,0
Older,2,0
Mid,2,0
Young,1,0
Mid,1,0
Mid,1,0
Young,5,0
Mid,2,0
Mid,2,0
Older,3,0
Mid,3,0
Older,2,0
Young,5,0
Mid,3,0
Older,5,0
Older,1,0
Young,5,0
Mid,2,0
Mid,3,0
Older,1,0
Older,3,0
Older,4,0
Older,3,0
Mid,2,0
Young,2,0
Young,2,0
Young,4,0
Older,4,0
Older,4,0
Older,3,0
Mid,2,0
Older,1,0
Young,3,0
Older,2,0
Older,5,0
Older,5,0
Young,2,0
Mid,2,0
Older,3,0
Mid,2,1
Older,2,0
Older,4,1
Young,4,0
Mid,3,0
Mid,3,0
Older,3,0
Older,1,0
Mid,3,0
Older,5,0
Young,2,0
Older,5,0
Older,2,0
Older,4,0
Mid,4,1
Older,3,0
Older,2,0
Mid,1,0
Mid,4,0
Older,2,0
Older,1,1
Mid,4,0
Older,4,0
Older,1,0
Mid,3,0
Older,5,0
Young,4,0
Older,2,0
Mid,5,0
Young,3,0
Mid,2,0
Older,4,0
Mid,2,0
Older,4,0
Mid,5,0
Older,4,0
Older,2,0
Older,2,1
Mid,1,0
Older,4,0
Young,3,0
Young,4,0
Older,5,0
Mid,1,1
Young,3,0
Mid,4,0
Young,3,0
Young,3,0
Mid,2,0
Young,2,0
Older,2,0
Mid,2,0
Young,5,0
Older,3,0
Older,1,0
Young,2,0
Young,4,0
Older,2,0
Young,4,0
Older,3,0
Young,2,0
Young,4,0
Older,2,0
Mid,3,0
Mid,5,0
Mid,3,0
Older,2,1
Mid,4,0
Mid,4,0
Older,3,0
Young,3,0
Mid,4,0
Mid,3,0
Older,2,1
Older,5,0
Young,3,0
Older,4,0
Older,2,0
Mid,1,0
Older,2,0
Older,2,0
Mid,3,0
Young,2,0
Older,4,0
Young,3,0
Young,4,0
Young,1,0
Older,5,0
Young,1,0
Young,3,0
Older,4,0
Older,4,0
Mid,2,0
Young,1,0
Young,3,0
Older,5,0
Young,3,0
Older,4,1
Young,2,0
Older,3,0
Mid,4,0
Mid,5,0
Older,1,0
Young,4,0
Older,2,0
Mid,4,0
Older,1,0
Mid,4,0
Older,3,0
Older,3,0
Young,3,0
Young,4,0
Older,4,0
Mid,3,0
Older,3,0
Young,4,0
Older,1,0
Mid,1,0
Older,2,1
Older,2,0
Older,4,1
Young,4,0
Mid,5,0
Young,4,0
Young,3,0
Young,3,0
Young,1,0
Older,3,0
Mid,5,0
Older,4,0
Older,3,0
Older,3,1
Mid,4,0
Older,2,0
Mid,2,0
Older,3,0
Older,4,0
Older,5,0
Mid,4,1
Mid,4,0
Older,2,0
Older,3,1
Older,4,0
Older,2,1
Mid,5,0
Young,1,0
Mid,3,0
Older,1,0
Young,3,0
Older,4,1
Young,2,0
Young,4,0
Young,3,0
Older,5,0
Older,5,0
Mid,4,0
Older,5,0
Older,4,0
Young,4,0
Older,5,0
Older,3,0
Mid,2,0
Young,1,0
Older,4,0
Older,4,0
Young,5,0
Mid,3,0
Older,5,0
Young,3,0
Older,3,0
Mid,4,0
Mid,2,0
Mid,1,0
Older,3,0
Young,2,0
Older,4,0
Mid,4,0
Young,2,0
Older,3,0
Young,3,0
Older,3,0
Older,4,0
Older,1,1
Older,4,0
Mid,4,0
Older,5,0
Older,5,0
Older,4,0
Older,3,0
Older,5,0
Mid,5,0
Mid,5,0
Mid,2,0
Older,5,0
Older,3,0
Older,3,0
Mid,2,1
Mid,4,0
Mid,4,0
Older,3,0
Mid,4,1
Young,4,1
Older,4,1
Older,3,1
Older,3,0
Older,5,0
Older,3,0
Mid,3,1
Young,3,0
Mid,3,0
Older,4,1
Mid,3,0
Older,2,0
Mid,3,0
Older,2,0
Older,4,0
Mid,1,0
Mid,4,0
Mid,2,0
Older,4,0
Mid,5,0
Older,3,0
Older,4,0
Older,3,0
Older,3,0
Mid,3,0
Mid,4,0
Older,4,0
Mid,2,0
Mid,4,0
Older,2,0
Older,3,0
Older,3,0
Young,2,0
Older,3,0
Older,2,0
Young,5,0
Mid,1,0
Mid,4,0
Mid,2,0
Mid,5,0
Mid,4,0
Mid,4,0
Young,4,0
Older,4,0
Young,2,1
Young,3,0
Older,5,0
Older,5,0
Mid,1,0
Young,4,0
Mid,4,0
Mid,5,0
Mid,5,0
Older,3,0
Mid,3,0
Older,1,0
Older,5,0
Mid,3,0
Mid,5,0
Older,4,0
Older,4,0
Older,2,0
Older,5,0
Young,5,0
Young,3,0
Older,5,0
Older,5,0
Older,3,0
Mid,3,0
Older,5,0
Mid,5,0
Mid,4,0
Older,4,0
Mid,3,0
Older,5,0
Young,4,0
Young,3,0
Older,2,1
Older,2,0
Mid,3,0
Young,2,1
Mid,1,0
Older,5,0
Mid,4,0
Mid,4,0
Older,3,0
Older,5,1
Older,3,0
Older,2,0
Mid,4,0
Mid,2,1
Mid,5,0
Older,5,0
Young,5,0
Older,5,0
Mid,4,0
Older,5,0
Older,2,0
Older,4,0
Mid,5,0
Mid,4,0
Young,5,0
Young,4,0
Mid,5,0
Older,5,0
Older,4,0
Older,4,0
Young,5,0
Older,5,0
Mid,5,0
Older,3,0
Young,4,0
Older,2,0
Mid,4,1
Mid,5,0
Older,4,0
Older,5,0
Young,5,0
Older,4,0
Mid,5,0
Mid,5,1
Young,1,0
Mid,3,0
Older,3,0
Older,2,1
Mid,3,0
Mid,4,0
Older,1,1
Older,3,0
Older,1,0
Older,2,1
Young,5,0
Older,4,1
Mid,1,1
Mid,2,0
Older,1,0
Older,3,0
Young,2,0
Older,2,0
Older,4,0
Older,1,1
Mid,1,0
Older,4,0
Mid,1,0
Mid,2,0
Older,2,0
Older,1,0
Older,2,0
Older,4,0
Young,1,0
Older,2,0
Young,3,0
Mid,2,0
Older,2,0
Older,2,0
Older,3,0
Young,2,0
Mid,3,0
Mid,4,0
Older,2,0
Young,3,0
Young,2,1
Older,3,0
Young,2,0
Young,2,0
Young,1,0
Older,1,0
Mid,1,0
Older,2,0
Older,4,0
Mid,5,0
Older,1,0
Older,5,0
Young,2,0
Young,2,0
Mid,2,0
Mid,4,0
Older,4,0
Mid,1,0
Young,4,0
Older,4,0
Mid,3,0
Older,1,1
Older,2,0
Older,4,0
Older,1,0
Older,3,0
Older,1,1
Older,3,1
Older,2,0
Older,4,0
Mid,5,0
Young,1,1
Older,5,0
Mid,1,0
Older,4,0
Older,2,0
Older,5,0
Older,4,0
Older,2,0
Older,2,0
Older,1,1
Older,2,1
Older,2,0
Older,5,0
Older,5,0
Mid,2,0
Older,5,0
Older,4,0
Older,1,1
Older,4,0
Mid,2,0
Mid,4,0
Older,5,0
Older,3,0
Young,2,0
Mid,1,0
Mid,2,0
Mid,3,0
Older,4,0
Mid,3,0
Older,1,1
Older,1,1
Older,5,0
Mid,5,0
Older,2,0
Older,2,1
Older,3,0
Mid,1,0
Older,4,0
Older,3,0
Mid,4,0
Mid,4,0
Older,5,1
Older,5,0
Older,3,1
Young,4,0
Mid,3,1
Older,2,0
Older,3,1
Mid,3,0
Mid,1,0
Young,3,0
Young,5,0
Older,2,0
Older,2,0
Young,2,0
Young,3,0
Older,2,1
Mid,5,0
Older,3,0
Older,1,0
Older,2,0
Older,2,0
Older,2,0
Older,4,0
Young,1,0
Older,2,1
Young,1,0
Mid,1,1
Older,3,0
Older,2,0
Older,4,0
Older,5,0
Older,2,0
Mid,1,0
Mid,5,0
Older,2,1
Older,3,0
Mid,3,0
Older,4,0
Older,3,0
Young,4,0
Older,2,1
Older,1,0
Older,3,0
Young,2,0
Older,4,0
Mid,3,1
Older,2,0
Older,3,0
Mid,5,0
Older,3,0
Older,2,0
Young,2,0
Young,1,0
Older,3,0
Mid,5,0
Young,4,0
Older,2,0
Older,2,0
Mid,2,0
Mid,3,0
Young,2,0
Mid,1,0
Older,3,0
Young,4,0
Young,2,1
Older,2,0
Young,3,0
Older,1,1
Mid,5,0
Older,4,0
Mid,2,0
Older,3,0
Young,1,0
Young,1,1
Older,3,0
Older,2,1
Young,2,0
Young,2,1
Young,4,0
Older,2,1
Young,4,0
Older,4,0
Older,3,0
Older,2,0
Young,2,1
Young,3,0
Older,3,0
Mid,2,0
Mid,3,0
Older,3,1
Young,3,0
Young,3,0
Older,3,0
Older,3,0
Mid,2,0
Mid,3,0
Mid,4,0
Older,3,0
Older,4,0
Mid,2,0
Mid,3,0
Older,5,0
Older,5,0
Older,3,0
Older,4,0
Older,4,0
Older,2,0
Older,2,0
Mid,5,0
Mid,4,0
Mid,1,0
Older,1,0
Young,2,0
Older,3,0
Young,1,0
Mid,1,0
Mid,5,0
Older,2,0
Older,1,1
Older,3,1
Mid,3,0
Mid,4,0
Young,4,0
Mid,1,1
Mid,4,0
Older,4,0
Older,4,0
Mid,3,0
Young,2,0
Young,4,0
Older,1,0
Mid,4,0
Mid,4,0
Mid,4,0
Young,4,0
Older,3,0
Older,2,0
Mid,3,0
Older,4,0
Older,5,0
Young,3,0
Older,1,0
Mid,2,0
Older,1,0
Older,3,0
Older,3,0
Older,1,0
Young,3,0
Older,4,0
Older,2,0
Mid,3,0
Older,2,0
Older,4,0
Young,3,0
Young,4,0
Older,2,0
Older,5,1
Mid,1,0
Older,3,0
Young,5,0
Mid,3,0
Mid,2,0
Older,5,0
Mid,5,0
Mid,3,0
Older,1,0
Mid,4,0
Young,3,0
Young,3,0
Older,4,0
Older,3,0
Mid,1,1
Mid,2,0
Mid,1,0
Young,1,0
Older,4,0
Mid,5,0
Older,5,0
Mid,3,0
Older,3,0
Older,3,0
Mid,1,0
Older,2,0
Mid,4,0
Young,4,0
Young,4,0
Older,2,0
Older,2,0
Mid,2,0
Older,1,0
Young,5,0
Mid,1,0
Mid,5,0
Young,2,0
Mid,3,0
Older,4,0
Young,1,0
Older,4,0
Mid,5,0
Young,2,0
Mid,3,0
Older,5,0
Older,4,0
Young,2,0
Mid,1,0
Mid,3,0
Mid,2,0
Mid,3,1
Older,3,0
Mid,5,0
Mid,1,0
Mid,5,0
Older,1,0
Young,3,0
Older,2,0
Older,1,0
Older,4,0
Mid,3,0
Mid,3,0
Young,3,0
Older,5,0
Older,5,0
Older,1,0
Older,3,0
Older,4,0
Mid,2,0
Mid,4,0
Mid,4,0
Mid,2,0
Older,2,0
Young,2,0
Mid,1,0
Mid,5,0
Mid,3,0
Older,1,0
Older,4,0
Young,4,0
Older,2,0
Older,3,0
Mid,3,0
Older,2,0
Mid,3,0
Older,4,0
Older,4,0
Young,1,0
Older,4,0
Mid,3,1
Mid,3,0
Mid,3,0
Mid,1,0
Older,4,0
Older,3,0
Young,1,0
Older,2,0
Older,3,0
Older,4,0
Young,5,0
Older,1,0
Older,3,0
Older,3,0
Young,2,0
Older,5,0
Young,2,0
Older,3,0
Young,1,0
Older,3,0
Older,4,0
Mid,4,0
Older,2,0
Young,3,0
Mid,2,0
Older,1,1
Mid,2,0
Older,3,1
Older,2,0
Older,3,1
Young,4,0
Older,1,0
Young,1,1
Mid,3,0
Young,4,0
Older,4,0
Older,2,0
Older,3,0
Young,1,0
Older,4,0
Older,2,0
Older,3,0
Older,4,0
Older,3,0
Young,4,0
Young,2,0
Young,3,0
Mid,5,0
Older,3,0
Mid,5,0
Young,3,0
Older,2,0
Mid,2,0
Older,4,0
Mid,4,0
Older,3,0
Older,2,0
Older,2,0
Young,4,0
Young,5,0
Young,5,0
Young,5,0
Mid,1,0
Older,3,0
Older,2,0
Older,4,0
Older,3,0
Older,4,0
Young,2,0
Older,3,0
Mid,2,0
Older,1,0
Older,2,1
Older,3,0
Older,4,0
Mid,4,0
Mid,1,0
Older,5,0
Older,2,0
Older,1,0
Mid,3,0
Mid,2,1
Older,5,0
Mid,2,0
Mid,5,0
Older,4,0
Mid,5,0
Older,4,0
Older,4,0
Mid,5,0
Mid,3,0
Mid,2,0
Older,4,0
Mid,3,0
Mid,5,0
Mid,5,0
Older,3,0
Young,3,0
Older,5,0
Older,3,0
Older,2,0
Mid,3,0
Older,4,1
Young,3,0
Older,2,0
Older,4,0
Mid,2,0
Older,4,0
Young,2,0
Mid,2,0
Older,4,0
Older,5,0
Young,4,0
Mid,3,0
Mid,3,0
Older,2,0
Mid,4,0
Older,2,0
Young,1,0
Older,5,0
Older,4,0
Mid,2,0
Mid,3,0
Older,1,0
Older,1,0
Mid,5,0
Young,2,0
Mid,4,0
Mid,2,0
Older,5,0
Young,2,0
Older,3,0
Mid,5,0
Mid,5,0
Mid,4,0
Mid,3,0
Older,4,0
Older,5,0
Young,5,0
Older,3,0
Older,2,0
Mid,2,0
Mid,3,0
Young,5,0
Young,2,0
Young,3,0
Young,2,0
Older,4,0
Older,1,0
Older,5,0
Older,4,0
Mid,4,0
Older,2,0
Young,3,0
Older,4,0
Older,3,0
Older,4,0
Young,4,0
Young,3,0
Mid,3,0
Mid,2,0
Older,4,0
Older,4,0
Older,4,0
Older,5,0
Older,4,0
Older,2,0
Older,3,0
Mid,2,0
Mid,5,0
Mid,1,0
Older,1,0
Young,3,0
Mid,3,0
Older,4,0
Mid,3,0
Young,3,0
Young,4,0
Older,4,0
Mid,5,0
Young,2,0
Young,2,0
Older,4,0
Mid,5,0
Young,2,0
Older,4,0
Young,2,0
Young,3,0
Mid,2,0
Older,3,0
Older,3,0
Young,1,0
Older,1,0
Older,5,0
Older,2,0
Older,1,0
Older,4,0
Mid,2,0
Mid,2,0
Older,2,0
Mid,2,0
Young,2,0
Young,4,0
Mid,3,0
Mid,3,0
Older,3,0
Mid,1,0
Young,5,0
Older,5,0
Mid,1,0
Older,4,0
Older,3,0
Older,5,0
Older,4,0
Young,2,0
Young,4,0
Older,1,0
Young,1,0
Young,4,0
Young,3,0
Mid,3,0
Young,2,0
Mid,4,0
Older,2,0
Older,3,0
Older,3,0
Older,4,0
Older,3,0
Older,1,0
Mid,1,1
Older,3,0
Mid,3,0
Young,1,0
Older,3,0
Older,5,0
Older,4,0
Older,4,0
Young,2,0
Older,3,0
Mid,4,0
Older,3,0
Mid,3,0
Older,2,0
Mid,4,0
Older,2,1
Mid,2,0
Mid,4,0
Mid,5,0
Mid,1,0
Older,4,0
Mid,3,0
Older,4,0
Older,5,0
Mid,3,0
Older,4,0
Young,3,0
Mid,2,0
Mid,1,0
Older,4,0
Older,4,0
Mid,4,0
Older,5,0
Older,3,0
Mid,3,1
Mid,4,0
Mid,1,0
Mid,5,0
Mid,3,0
Young,2,0
Older,2,0
Mid,3,0
Older,2,0
Mid,2,0
Young,2,0
Mid,4,0
Young,3,0
Young,4,0
Older,5,0
Mid,4,0
Older,3,0
Mid,2,0
Mid,5,0
Mid,4,0
Older,2,0
Older,2,0
Mid,5,0
Older,1,0
Mid,2,0
Young,2,0
Older,4,0
Young,5,0
Young,3,0
Young,4,0
Mid,3,0
Older,5,0
Older,2,0
Older,4,0
Mid,4,0
Mid,3,0
Older,3,0
Young,3,0
Young,5,0
Older,2,0
Mid,1,0
Young,2,0
Older,1,0
Older,2,0
Mid,3,0
Young,3,0
Young,4,0
Older,1,0
Young,2,0
Mid,2,0
Mid,5,0
Young,4,0
Young,5,0
Mid,2,0
Mid,2,0
Older,4,0
Young,2,0
Young,1,0
Mid,2,0
Mid,4,0
Older,1,0
Older,4,0
Mid,2,0
Older,4,1
Older,3,0
Older,5,0
Mid,4,0
Older,4,0
Young,2,0
Mid,4,1
Young,2,0
Older,5,0
Young,3,0
Young,4,0
Older,4,0
Young,5,0
Mid,4,0
Mid,2,1
Mid,4,0
Older,4,0
Older,5,0
Older,4,0
Mid,2,0
Mid,5,0
Mid,3,0
Older,2,0
Older,2,0
Young,4,0
Older,1,0
Older,4,0
Older,3,0
Older,4,0
Mid,5,0
Young,3,0
Older,4,0
Mid,5,0
Mid,4,0
Mid,3,0
Mid,4,0
Mid,4,0
Mid,2,1
Young,2,0
Older,3,0
Older,4,0
Older,5,0
Mid,5,0
Older,3,0
Older,2,0
Older,2,0
Older,4,0
Older,3,0
Mid,4,0
Mid,3,0
Older,2,0
Older,4,0
Mid,4,0
Mid,5,0
Older,3,1
Mid,4,0
Young,3,0
Older,3,0
Older,4,0
Older,3,0
Young,3,0
Older,2,1
Older,5,0
Mid,5,0
Older,4,1
Older,5,0
Mid,3,0
Mid,3,0
Young,4,0
Young,3,0
Mid,5,0
Older,2,1
Older,4,0
Young,5,0
Mid,4,0
Older,5,0
Mid,2,0
Older,2,0
Mid,5,0
Older,3,0
Older,5,0
Older,4,0
Older,4,0
Mid,5,0
Older,2,0
Young,2,0
Older,4,0
Older,4,0
Older,4,0
Mid,4,0
Older,5,0
Young,5,0
Older,2,0
Young,5,0
Young,5,0
Mid,2,0
Older,3,0
Older,3,0
Older,2,1
Older,5,1
Older,5,0
Mid,5,0
Older,4,0
Older,5,0
Young,4,0
Older,4,0
Older,5,0
Mid,4,0
Mid,4,0
Older,5,0
Older,3,0
Mid,5,0
Young,4,0
Older,4,0
Older,5,0
Older,2,0
Young,4,1
Mid,1,0
Older,5,0
Mid,5,0
Young,3,1
Older,4,0
Older,4,0
Older,4,0
Older,4,0
Older,4,0
Young,4,1
Mid,5,1
Mid,3,0
Older,2,0
Older,3,0
Young,3,0
Young,3,0
Young,2,0
Young,2,0
Young,3,0
Young,3,0
Young,3,0
Young,2,0
Young,4,0
Young,2,0
Young,5,0
Young,1,0
Young,3,0
Young,2,1
Young,2,0
Young,4,1
Young,3,0
Young,2,0
Young,4,0
Young,4,0
Mid,3,0
Young,2,0
Young,3,0
Young,2,0
Young,3,0
Young,2,1
Young,2,1
Young,3,0
Young,3,0
Young,3,0
Young,2,0
Young,3,0
Young,4,0
Young,4,0
Young,2,0
Young,2,0
Young,5,0
Mid,2,0
Young,1,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,2,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,4,0
Young,4,0
Young,4,0
Young,3,0
Young,3,0
Mid,1,1
Young,2,0
Young,4,0
Young,2,0
Young,3,0
Young,3,0
Young,4,0
Young,3,0
Young,2,0
Young,2,0
Young,2,0
Young,2,0
Young,1,0
Young,3,0
Young,4,0
Young,3,0
Young,3,0
Young,2,0
Young,3,0
Young,2,0
Mid,4,0
Young,2,0
Young,4,1
Older,3,0
Young,3,0
Mid,5,1
Young,3,0
Young,5,0
Older,2,0
Young,2,0
Young,1,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Young,2,0
Young,3,0
Mid,3,0
Young,2,0
Young,4,0
Young,4,0
Young,3,0
Young,2,0
Young,3,0
Young,3,0
Young,3,0
Young,2,0
Young,2,0
Mid,2,0
Young,4,0
Young,3,0
Mid,2,1
Older,3,0
Young,1,0
Young,2,0
Mid,5,0
Young,4,0
Young,2,0
Young,4,0
Young,2,0
Young,4,0
Young,2,0
Young,2,0
Young,4,0
Young,3,0
Older,5,0
Young,2,0
Young,3,0
Young,4,0
Young,3,0
Young,4,0
Young,3,0
Young,5,0
Young,3,0
Young,2,0
Young,4,0
Young,3,0
Young,3,0
Young,3,0
Young,3,0
Mid,4,0
Young,3,0
Mid,2,0
Young,3,0
Young,4,0
Young,2,0
Young,4,0
Young,3,0
Young,3,0
Young,3,0
Young,4,0
Young,4,0
Young,3,1
Mid,4,1
Young,3,0
Young,4,0
Young,4,0
Young,4,0
Older,3,0
Young,2,0
Young,4,0
Young,4,0
Young,1,0
Young,3,0
Young,2,0
Young,2,0
Young,1,0
Young,4,0
Young,2,0
Young,2,0
Young,4,0
Young,3,0
Young,2,0
Young,2,1
Young,2,0
Young,1,0
Young,2,0
Young,2,0
Young,1,1
Young,2,0
Young,4,0
Young,2,0
Young,3,0
Older,4,0
Young,3,1
Young,1,0
Young,2,0
Young,3,0
Young,3,0
Older,1,0
Young,5,0
Young,3,0
Young,5,0
Young,4,0
Mid,3,0
Young,2,1
Young,2,0
Young,4,0
Young,3,0
Young,3,0
Young,3,0
Older,4,0
Young,1,0
Young,3,0
Young,1,0
Young,2,0
Older,4,0
Young,2,0
Older,5,0
Mid,1,0
Older,1,0
Young,4,0
Mid,2,0
Older,1,0
Young,3,0
Young,4,0
Young,2,0
Older,4,0
Mid,3,0
Older,2,0
Young,1,0
Older,3,0
Young,3,0
Mid,2,0
Young,2,0
Older,1,1
Older,1,0
Young,3,0
Older,3,0
Young,3,0
Older,2,0
Young,2,0
Young,3,0
Young,2,0
Young,3,1
Older,3,0
Older,1,0
Young,3,0
Mid,2,0
Young,1,0
Older,1,0
Older,1,0
Young,3,0
Older,1,1
Young,2,0
Mid,3,0
Mid,2,0
Young,4,0
Young,3,0
Older,4,1
Mid,4,0
Older,1,0
Older,1,0
Young,1,0
Mid,1,0
Young,4,0
Older,3,0
Older,1,0
Older,1,0
Young,5,0
Older,1,0
Older,2,0
Older,4,0
Young,2,0
Young,4,0
Young,2,0
Older,1,0
Older,1,0
Young,2,0
Mid,3,0
Young,3,0
Older,3,0
Young,5,0
Young,4,0
Young,2,0
Older,2,0
Older,3,0
Older,3,0
Mid,2,0
Older,2,0
Older,1,0
Mid,2,0
Young,1,0
Mid,1,0
Older,2,0
Young,3,0
Mid,1,0
Mid,2,0
Young,2,0
Young,2,0
Young,2,0
Young,1,0
Older,3,0
Older,1,0
Mid,4,0
Young,3,0
Mid,2,0
Older,2,0
Young,2,0
Mid,2,0
Older,2,0
Young,1,0
Mid,2,0
Older,4,0
Older,2,0
Older,1,0
Older,4,0
Older,2,0
Older,3,0
Older,4,0
Older,3,0
Older,3,0
Young,3,0
Older,4,0
Older,2,0
Young,1,0
Young,3,0
Mid,5,0
Young,1,0
Mid,2,0
Mid,3,0
Mid,4,1
Young,2,0
Young,4,0
Young,2,0
Older,4,0
Mid,5,0
Young,2,0
Mid,3,0
Mid,2,0
Young,3,0
Older,5,0
Older,3,0
Young,2,0
Older,5,0
Older,3,0
Older,3,0
Older,3,0
Older,3,0
Mid,4,0
Older,4,0
Young,3,0
Young,4,0
Mid,4,0
Older,1,0
Young,2,0
Mid,4,0
Older,5,0
Older,4,0
Mid,1,0
Older,2,1
Mid,4,0
Older,3,0
Young,4,0
Mid,2,0
Older,5,1
Young,3,0
Older,4,1
Older,3,0
Older,1,0
Mid,3,0
